link,type,location,price,views
https://www.digitalrenter.com/en/Single%20Room/Bakweri%20Town/Buea/room-to-let-248,Single Room,"Bakweri Town, Buea","15,000 FCFA",184
https://www.digitalrenter.com/en/Apartment/Santa%20Barbara/Buea/apartment-to-let-332,Apartment,"Santa Barbara, Buea","65,000 FCFA",182
https://www.digitalrenter.com/en/Apartment/Boaster/Buea/nice-clean-apartment-to-let-326,Apartment,"Boaster, Buea","60,000 FCFA",182
https://www.digitalrenter.com/en/Single%20Room/Paramount%20-%20St%20Clair/Buea/single-room-to-let-297,Single Room,"Paramount - St Clair, Buea","300,000 FCFA",181
https://www.digitalrenter.com/en/Single%20Room/Dirty%20South/Buea/student-hostel-to-let-247,Single Room,"Dirty South, Buea","310,000 FCFA",179
https://www.digitalrenter.com/en/Single%20Room/Dirty%20South/Buea/student-hostel-to-let-240,Single Room,"Dirty South, Buea","300,000 FCFA",179
https://www.digitalrenter.com/en/Single%20Room/Bakweri%20Town/Buea/single-room-to-let-316,Single Room,"Bakweri Town, Buea","20,000 FCFA",176
https://www.digitalrenter.com/en/Single%20Room/Malingo/Buea/single-room-to-let-298,Single Room,"Malingo, Buea","330,000 FCFA",174
https://www.digitalrenter.com/en/Single%20Room/Sosoliso/Buea/sell-my-room-329,Single Room,"Sosoliso, Buea","20,000 FCFA",173
https://www.digitalrenter.com/en/Apartment/Check%20Point/Buea/apartment-to-let-301,Apartment,"Check Point, Buea","65,000 FCFA",173
https://www.digitalrenter.com/en/Single%20Room/Sosoliso/Buea/student-hostel-to-let-251,Single Room,"Sosoliso, Buea","270,000 FCFA",173
https://www.digitalrenter.com/en/Single%20Room/Santa%20Barbara/Buea/single-room-to-let-304,Single Room,"Santa Barbara, Buea","15,000 FCFA",171
https://www.digitalrenter.com/en/Single%20Room/Mile%2017/Buea/office-space-or-residence-room-244,Single Room,"Mile 17, Buea",,348
https://www.digitalrenter.com/en/Guest%20House/Bonduma/Buea/ebenezer-guest-house-229,"Ebenezer G - 
				
		  		Guest House","Bonduma, Buea",,347
https://www.digitalrenter.com/en/Single%20Room/Winners%20Chapel/Buea/single-room-to-let-278,Single Room,"Winners Chapel, Buea","18,000 FCFA",344
https://www.digitalrenter.com/en/Single%20Room/Sosoliso/Buea/student-hostel-to-let-258,Single Room,"Sosoliso, Buea","210,000 FCFA",319
https://www.digitalrenter.com/en/Single%20Room/Santa%20Barbara/Buea/simple-single-student-room-223,Single Room,"Santa Barbara, Buea","25,000 FCFA",312
https://www.digitalrenter.com/en/Single%20Room/Paramount%20-%20St%20Clair/Buea/clean-big-hostel-room-171,Single Room,"Paramount - St Clair, Buea","390,000 FCFA",302
https://www.digitalrenter.com/en/Single%20Room/Santa%20Barbara/Buea/single-room-to-let-270,Single Room,"Santa Barbara, Buea","22,000 FCFA",301
https://www.digitalrenter.com/en/Single%20Room/Buea/Buea/student-hostel-to-let-253,Single Room,Buea,"350,000 FCFA",299
https://www.digitalrenter.com/en/Apartment/Biaka%20Institute/Buea/apartment-to-let-294,Apartment,"Biaka Institute, Buea","50,000 FCFA",296
https://www.digitalrenter.com/en/Single%20Room/Sosoliso/Buea/student-hostel-to-let-267,Single Room,"Sosoliso, Buea","320,000 FCFA",296
https://www.digitalrenter.com/en/Apartment/Great%20soppo/Buea/apartment-to-let-317,Apartment,"Great soppo, Buea","50,000 FCFA",295
https://www.digitalrenter.com/en/Studio/Bakweri%20Town/Buea/studio-in-fenced-compound-315,Studio,"Bakweri Town, Buea","45,000 FCFA",293
https://www.digitalrenter.com/en/Studio/Dirty%20South/Buea/studio-for-rent-203,Studio,"Dirty South, Buea","45,000 FCFA",290
https://www.digitalrenter.com/en/Apartment/Buea/Buea/apartment-to-let-259,Apartment,Buea,"60,000 FCFA",288
https://www.digitalrenter.com/en/Apartment/Bakweri%20Town/Buea/apartment-to-let-254,Apartment,"Bakweri Town, Buea","55,000 FCFA",276
https://www.digitalrenter.com/en/Apartment/Winners%20Chapel/Buea/apartment-to-let-276,Apartment,"Winners Chapel, Buea","65,000 FCFA",272
https://www.digitalrenter.com/en/Studio/Mile%2017/Buea/studio-to-let-in-exposed-env-246,Studio,"Mile 17, Buea",,260
https://www.digitalrenter.com/en/Apartment/Great%20soppo/Buea/nice-clean-apartment-to-let-309,Apartment,"Great soppo, Buea","45,000 FCFA",254
https://www.digitalrenter.com/en/Store/Mile%2017/Buea/store-in-expose-area-245,Store,"Mile 17, Buea",,251
https://www.digitalrenter.com/en/Studio/Check%20Point/Buea/comfortable-and-clean-studio-289,Studio,"Check Point, Buea","50,000 FCFA",249
https://www.digitalrenter.com/en/Apartment/Biaka%20Institute/Buea/apartment-to-let-295,Apartment,"Biaka Institute, Buea","60,000 FCFA",223
https://www.digitalrenter.com/en/Apartment/Bokwango/Buea/apartment-to-let-242,Apartment,"Bokwango, Buea","100,000 FCFA",220
https://www.digitalrenter.com/en/Duplex/Federal%20Quarter/Buea/magnificent-secured-duplex-337,Duplex,"Federal Quarter, Buea","1,000,000 FCFA",218
https://www.digitalrenter.com/en/Single%20Room/Check%20Point/Buea/student-hostel-to-let-284,Single Room,"Check Point, Buea","16,000 FCFA",218
https://www.digitalrenter.com/en/Apartment/Limbe/Limbe/beautiful-apartment-for-rent-97,Apartment,Limbe,"80,000 FCFA",1194
https://www.digitalrenter.com/en/Apartment/Check%20Point/Buea/a-2-rooms-apartment-for-rent-86,Apartment,"Check Point, Buea",,1174
https://www.digitalrenter.com/en/Single%20Room/Malingo/Buea/comfortable-room-49,Single Room,"Malingo, Buea","32,000 FCFA",1170
https://www.digitalrenter.com/en/Apartment/Sandpit/Buea/cool-apartment-for-family-32,Apartment,"Sandpit, Buea","85,000 FCFA",1156
https://www.digitalrenter.com/en/Apartment/Winners%20Chapel/Buea/cute-apartment-42,Apartment,"Winners Chapel, Buea","75,000 FCFA",1063
https://www.digitalrenter.com/en/Studio/Molyko/Buea/studio-at-strategic-position-95,Studio,"Molyko, Buea","60,000 FCFA",1055
https://www.digitalrenter.com/en/Single%20Room/Dirty%20South/Buea/a-single-roomkitchen-toilet-82,Single Room,"Dirty South, Buea","300,000 FCFA",1038
https://www.digitalrenter.com/en/Single%20Room/Small%20Soppo/Buea/cool-room-with-calm-environmen-19,Single Room,"Small Soppo, Buea","11,000 FCFA",1030
https://www.digitalrenter.com/en/Single%20Room/Small%20Soppo/Buea/newly-constructed-room-toilet-22,Single Room,"Small Soppo, Buea","15,000 FCFA",1009
https://www.digitalrenter.com/en/Apartment/Kotto%20Block%20L/Douala/house-for-a-family-up-to-5-75,Apartment,"Kotto Block L, Douala","225,000 FCFA",1001
https://www.digitalrenter.com/en/Single%20Room/Dirty%20South/Buea/a-one-roomkitchen-andtoilet-83,Single Room,"Dirty South, Buea","350,000 FCFA",999
https://www.digitalrenter.com/en/Single%20Room/Small%20Soppo/Buea/single-spacious-room-26,Single Room,"Small Soppo, Buea","15,000 FCFA",985
https://www.digitalrenter.com/en/Single%20Room/Dirty%20South/Buea/single-roomkitchen-and-toilet-81,Single Room,"Dirty South, Buea","320,000 FCFA",982
https://www.digitalrenter.com/en/Single%20Room/Small%20Soppo/Buea/single-spacious-room-calm-env-25,Single Room,"Small Soppo, Buea","15,000 FCFA",980
https://www.digitalrenter.com/en/Apartment/Muea/Muea/newly-constructed-apartment-94,Apartment,Muea,"100,000 FCFA",950
https://www.digitalrenter.com/en/Duplex/Muea/Muea/super-duplex-12,Duplex,Muea,"150,000 FCFA",940
